TaskName,Course,Instructions,Points,Requirements
SH 1.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 1.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 1.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 2.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 2.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 2.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 3.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 3.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 3.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 4.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 4.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
SH 4.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 1.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 1.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 1.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 2.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 2.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 2.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 3.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 3.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 3.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 4.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 4.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
TE 4.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 1.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 1.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 1.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 2.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 2.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 2.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 3.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 3.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 3.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 4.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 4.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 4.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 5.1,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 5.2,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions
WC 5.3,Integrated Science,Sample instruction for task,50,Read through each blocks and understand the instructions